name	count	percent
Google	12294	27.2%
Amazon	6431	14.2%
NAVER Cloud Corp.	4228	9.4%
Cloudflare	4057	9.0%
Korea Telecom	2619	5.8%
LG DACOM Corporation	2479	5.5%
Akamai	1682	3.7%
Microsoft	1403	3.1%
Facebook	1149	2.5%
SK Broadband Co Ltd	1083	2.4%
Fastly	869	1.9%
NHNCLOUD	655	1.5%
Kakao Corp	640	1.4%
NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.	556	1.2%
NATIONAL INFORMATION RESOURCES SERVICE	314	0.7%
Datacamp	305	0.7%
OVH SAS	262	0.6%
KINX	188	0.4%
SMILESERV	175	0.4%
Cheiljedang.Co.Inc.	163	0.4%
NATE Communications Corporation	161	0.4%
NTT PC Communications, Inc.	153	0.3%
Opera Norway AS	116	0.3%
The Constant Company, LLC	107	0.2%
CMB	87	0.2%
DataWeb Global Group B.V.	85	0.2%
DAOU TECHNOLOGY	84	0.2%
RTB HOUSE PTE. LTD.	82	0.2%
HCN Dongjak	73	0.2%
Alibaba (US) Technology Co., Ltd.	72	0.2%
GABIA Inc.	72	0.2%
BROADBANDIDC	68	0.2%
Yahoo	65	0.1%
CONNECTWAVE	64	0.1%
GSNeotek	60	0.1%
LEASEWEB SINGAPORE PTE. LTD.	59	0.1%
Meteverse Limited.	59	0.1%
Hostway IDC	58	0.1%
IDC Frontier Inc.	57	0.1%
Zhejiang Taobao	46	0.1%
Seoul Metropolitan Government	44	0.1%
PhoenixNAP	43	0.1%
HyosungITX	42	0.1%
RTB Marketing and Tech Services Ltd	42	0.1%
SK Telecom	41	0.1%
Oracle	41	0.1%
Hetzner Online GmbH	40	0.1%
viva republica	38	0.1%
flexnetworks	37	0.1%
NatCoWeb Corp.	36	0.1%
Servers.com, Inc.	32	0.1%
DigitalOcean, LLC	31	0.1%
Webair Internet Development Company Inc.	30	0.1%
Adform A/S	30	0.1%
Tencent	30	0.1%
LG HelloVision Corp.	28	0.1%
Seoul Metropolitan Government Computer Center	26	0.1%
Bytedance Inc.	25	0.1%
Telx	24	0.1%
KISTI	24	0.1%
Incapsula	22	0.0%
Internet Initiative Japan Inc.	21	0.0%
G-Core Labs S.A.	21	0.0%
Leaseweb USA, Inc.	20	0.0%
ACE	20	0.0%
abcle	20	0.0%
SHINHAN DS	19	0.0%
DACOM-PUBNETPLUS	18	0.0%
SamsungSDS Inc.	18	0.0%
PaeDae, Inc.	17	0.0%
SHINSEGAE I C Co., Ltd.	17	0.0%
BEKKOAME INTERNET INC.	16	0.0%
Korea Internet Security Agency	16	0.0%
LY Corporation	16	0.0%
Inet Hosting, Inc.	15	0.0%
Outbrain, Inc.	14	0.0%
Korea Employment Information Management Agency	14	0.0%
CDNetworks	13	0.0%
DREAMMARK1	12	0.0%
COLT Technology Services Group Limited	12	0.0%
Hyundai Autoever Corp.	12	0.0%
Automattic	12	0.0%
LOTTE INNOVATE Co.,Ltd	12	0.0%
Roblox	12	0.0%
Zenlayer	11	0.0%
NHN KCP Corp.	11	0.0%
DeepIntent, Inc.	11	0.0%
MicroAd, Inc.	11	0.0%
Meetscale SAS	11	0.0%
Wikimedia Foundation Inc.	11	0.0%
HANWHA Corp. Information Service div.	10	0.0%
DLIVE	10	0.0%
WebNX, Inc.	9	0.0%
kt cloud Co., Ltd	9	0.0%
National Health Insurance Service	9	0.0%
myGaru global	9	0.0%
Hyundai Department Store Co., Ltd.	9	0.0%
KERIS	9	0.0%
YANDEX LLC	8	0.0%
KOREA CABLE TELECOM	8	0.0%
NCOM ltd.	8	0.0%
SEJONG NETWORKS	8	0.0%
KFTC	8	0.0%
Wonkwang University	8	0.0%
Shinbiro	7	0.0%
Rocket Fuel Inc.	7	0.0%
Hangzhou Alibaba Advertising Co.,Ltd.	7	0.0%
Korea Expressway Corporation	7	0.0%
Industrial Bank of Korea	7	0.0%
DOUZONEBIZON	7	0.0%
Intrahost Solutions Ltd	6	0.0%
DREAMLINE CO.	6	0.0%
XFERNET	6	0.0%
NICEINFOMATIONSERVICE	6	0.0%
GTHost	6	0.0%
IPROM d.o.o	6	0.0%
KOSCOM	6	0.0%
Korea Data Telecommunication Co., Ltd.	6	0.0%
Tosspayments	6	0.0%
HostPapa	6	0.0%
Jeonbuk State office of Education Future Education Research Institute	6	0.0%
KOOKMIN BANK	6	0.0%
Korea University of Technology and Education	6	0.0%
KYOBO BOOK CENTER	6	0.0%
Seoul Metropolitan Office Of Education	6	0.0%
JSC Selectel	5	0.0%
Korea Investment Management CO.	5	0.0%
Notion Labs, Inc.	5	0.0%
National Electoin Commission	5	0.0%
Korea Culture Information Service Agency	5	0.0%
KAKAO Enterprise	5	0.0%
Apple Inc.	5	0.0%
DEFT.COM	5	0.0%
IM Bank	5	0.0%
SAKURA Internet Inc.	5	0.0%
Korea Financial Investment Association	5	0.0%
Korea Water Resources Corporation	5	0.0%
HANVIT BANK	5	0.0%
KTO	5	0.0%
POSCO DX	5	0.0%
Shinhan Bank	5	0.0%
FC2 Inc	5	0.0%
Netflix Streaming Services Inc.	5	0.0%
HYUNDAICARD CO.	4	0.0%
National Agricultural Cooperative federation	4	0.0%
Chungcheongbuk-do Education Research and Information Institute	4	0.0%
CHUNGBUK NATIONAL UNIVERSITY	4	0.0%
Korea Transportation Safety Authority	4	0.0%
LG POWERCOMM	4	0.0%
tsis	4	0.0%
Kangwon Land,Inc.	4	0.0%
The Optimal Link Corporation	4	0.0%
EN Technologies Pte Ltd	4	0.0%
KOREA CREDIT GUARANTEE FUND	4	0.0%
Korea Racing Association	4	0.0%
TONGYANG LIFE INSURANCE CO., LTD.	4	0.0%
Seoul National University	4	0.0%
Tmoney co., ltd	4	0.0%
BUSAN EDUCATION RESEARCH & INFORMATION INSTITUTE	4	0.0%
TEFEXIA Co., Ltd.	4	0.0%
Supreme Court of Korea	4	0.0%
UpCloud Ltd	4	0.0%
Wix.com Ltd.	4	0.0%
National Pension Corporation	3	0.0%
NC Taiwan Co., Ltd.	3	0.0%
Korea Credit Bureau	3	0.0%
Digital Edge Korea	3	0.0%
asan medical center	3	0.0%
INICIS Co., Ltd	3	0.0%
Catholic University of DAEGU	3	0.0%
Sparteo SAS	3	0.0%
LeaseWeb Netherlands B.V.	3	0.0%
VENTE-PRIVEE.COM SA	3	0.0%
Duksung Womens University	3	0.0%
KEPCO	3	0.0%
Institute of Information and Computing, EWHA WOMANS UNIV.	3	0.0%
Hanyang University	3	0.0%
Hyundai Marin   Fire Insurance	3	0.0%
HONGIK UNIVERSITY	3	0.0%
Hoseo  University	3	0.0%
Korea Advanced Institute of Science and Technology	3	0.0%
ZOHO	3	0.0%
INHA UNIVERSITY	3	0.0%
Chonnam National University	3	0.0%
KB Insurance	3	0.0%
Korea Housing   Urban Guarantee Corporation	3	0.0%
PE Brezhnev Daniil	3	0.0%
Bidtellect Inc.	3	0.0%
Korea University	3	0.0%
Kum oh National University of Technology (KNUT)	3	0.0%
DB Inc.	3	0.0%
Hana Card	3	0.0%
KAIT	3	0.0%
FDCservers.net	3	0.0%
OnairNet Inc.	3	0.0%
KOSAF	3	0.0%
SHOPEE	3	0.0%
The University of Seoul	3	0.0%
Korea Trade Network	3	0.0%
KNOC	3	0.0%
KWANGWOON UNIVERSITY	3	0.0%
Shinhan card	3	0.0%
youngsan university	3	0.0%
IBM Cloud	2	0.0%
CNSERVERS LLC	2	0.0%
American Home Assurance Korea	2	0.0%
QIA	2	0.0%
BCCARD	2	0.0%
CHINANET BACKBONE	2	0.0%
bkl LLC	2	0.0%
BNK SYSTEM	2	0.0%
Pusan University of Foreign Studies	2	0.0%
CHOSUN UNIVERSITY	2	0.0%
Chongju University	2	0.0%
Anthropic, PBC	2	0.0%
SAMJUNG DATA SERVICE	2	0.0%
Chungnam National University	2	0.0%
WholeSale Internet, Inc.	2	0.0%
Criteo APAC	2	0.0%
New Relic	2	0.0%
DAEJIN UNIVERSITY	2	0.0%
DAELIM	2	0.0%
Aptum Technologies	2	0.0%
DONG-EUI UNIVERSITY	2	0.0%
DGIST	2	0.0%
KyungSan University	2	0.0%
SEOUL AGRICULTURAL   MARINE PRODUCTS CORP.	2	0.0%
Gyeong Sang Buk-Do Office of Education	2	0.0%
Gwangju Education Research Information Service	2	0.0%
Kangwon National University	2	0.0%
Hostinger International Limited	2	0.0%
HOWON UNIVERSITY	2	0.0%
Hankuk University of Foreign Studies Computer Center	2	0.0%
Seoul Housing Communities Corporation	2	0.0%
NovoServe B.V.	2	0.0%
iM DS Co.,Ltd.	2	0.0%
INJE UNIVERSITY	2	0.0%
UNIVERSITY OF INCHEON	2	0.0%
Total Uptime Technologies, LLC	2	0.0%
Korea Institute of Science and Technology Evaluation and Planning	2	0.0%
Jeonbuk National University	2	0.0%
Korea Aerospace Research Institute	2	0.0%
KB Life Insurance Co., Ltd.	2	0.0%
National Research Foundation of Korea	2	0.0%
Korean Federation of Community Credit Cooperatives	2	0.0%
Korea National Open University	2	0.0%
Kyungpook National University	2	0.0%
Korea National University of Education	2	0.0%
MOJOHOST B.V.	2	0.0%
DigitalOne AG	2	0.0%
KOAT	2	0.0%
KOOKMIN UNIVERSITY	2	0.0%
Squarespace, Inc.	2	0.0%
TradingView, Inc.	2	0.0%
KYOBO SECURITIES	2	0.0%
KDDI KOREA	2	0.0%
kbank	2	0.0%
WOORICARD	2	0.0%
