metric	count	denominator	percent
successful_sites	2179		
raw_http_requests	262926		
domain_observations	19046		
sites_with_rtt_fallback	1243	successful_sites	57.0%
rtt_fallback_observations	3640	domain_observations	19.1%
rtt_measured_observations	3064	rtt_fallback_observations	84.2%
rtt_failed_observations	576	rtt_fallback_observations	15.8%
rtt_below_15ms	2394	rtt_measured_observations	78.1%
rtt_at_or_above_15ms	670	rtt_measured_observations	21.9%
unique_rtt_domains	976		
unique_rtt_ips	895		
sites_stable_across_10_15_20ms	2147	successful_sites	98.5%
